Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
ALX1,DMKN,MEIS1-AS2,LOC102723996,,NDEL1,,HTRA1,OR6C75,TMEM120A
POU2F2,HBA1,TRPA1,RASL12,,NCOA2,,C1orf56,MIR5690,OAZ2
RAB42,GRHL2,HAS2,TRIM29,,PHC2,,ZNF697,LOC387810,PGAM1
LINC01287,MC2R,GRM8,LHX9,,PPIF,,MLL,MIR548I3,CKB
GNA15,CELA2A,GATM,SHISA2,,RIPK4,,NBR1,OR11A1,BAD
APOC1,LINC00892,OLFM1,IGSF1,,KIAA1324,,ATG3,LINC01589,KHSRP
FSTL3,DPYD-AS1,NRXN1,SLIT3,,CD46,,SRP72,UGT2B11,TUBB4A
HHEX,NELL1,GPR37,MMP14,,EXTL3,,WDR26,FOXP4-AS1,GPSM1
LILRA2,CYP21A2,RAPGEF4-AS1,SRPX2,,HSD17B11,,PAQR6,LOC101927809,HNRNPUL2-BSCL2
PLPPR4,ZFP36,CLEC11A,CDKL2,,LOC729040,,SMC6,IRX2,GDF1
MARK1,EFHC2,PRR25,HAR1B,,MYLIP,,GPATCH2,LOC101928103,SERPINB6
CD300A,DNAJC5G,LEXM,TGM5,,RALB,,LRRC23,PI3,FKBP8
MEOX1,LIF,NLRP2,LOC105379054,,DGKG,,WDR35,PTGDR2,IGFBP4
LINC02172,EGR3,PCDHB5,NID2,,CPQ,,TMED4,MIR548N,TMEM134
HCST,UBD,INPP4B,ALDH3A1,,BCL2A1,,RGS5,LOC101928418,MAGEL2
SIRPB2,COL28A1,A3GALT2,ZIC1,,IGF2R,,PLEKHF2,CYCSP52,FAM171A2
LOC102724450,ANGPTL6,NDP,ASTN2-AS1,,PLPPR2,,TEX261,MIR548W,SCYL1
MSH5,HOXB13,NINJ2,HENMT1,,ETS2,,RNGTT,SECTM1,LSM10
PITX2,FAM57B,LOC645485,PENK,,IPMK,,NRP2,PADI6,RIT2
XKR3,TRAT1,SSPO,RAB38,,FBXL5,,GPRASP1,LINC01674,EPHX1
AFF2,ORC6,CCND2-AS1,NKX3-2,,SDCBP,,CDC26,LINC01060,CTDNEP1
DPEP1,ABCG8,LOC101928205,HSPA1A,,B3GNT2,,EIF1AY,SLC6A18,RAB5C
PSAT1,ADGRA1,CHADL,FGF14,,CFLAR,,RPS4Y1,PCK1,SPNS1
NEUROG3,LINC01669,LGI3,KRT23,,USP32,,,CST1,PPP1R16A
ADGRE4P,CTAGE1,NDRG2,TMEM114,,ANGPTL2,,,LINC00557,FBXL19
C4orf19,ULK4P3,PCSK1N,PTGER4,,VASP,,,POTED,NTSR1
PMEPA1,HCG17,NAT2,SPOCK3,,UBXN2B,,,FOXD3-AS1,SRM
DCSTAMP,GAD1,MIR3648-2,OVCH2,,MTMR10,,,LINC02401,NAT14
RHOXF1-AS1,LINC00319,MIR3648-1,PPP1R1A,,NCF1B,,,LOC105375297,FOXO6
GRAMD1B,HYMAI,TIMP3,HCAR3,,TNNI2,,,LHX9,SRP14
TIMD4,ATCAY,MEG8,LOC102724362,,ERV3-1,,,PGK2,CLTA
HRCT1,MYOCD,S1PR5,ADAMTS18,,RAP1GAP,,,LOC105377267,KHDC1L
TSPAN33,LOC100294362,RAB6B,HLA-E,,ADIPOR1,,,LILRA6,GLIS2
TFAP2A,CFAP46,DSCAML1,HKDC1,,LINC00664,,,CTAGE11P,BCKDHA
KANK1,OR2A42,LOC102724604,GLP1R,,SAT1,,,LOC101929572,CSNK1D
CRYBB1,KLK6,CCDC80,FAM87B,,SCARF1,,,CCER1,C1orf226
KCNQ3,KLHDC8A,RNF180,CRIP1,,BRD2,,,NCR3,DRD4
SDS,LINC02349,HRAT92,CLDN5,,TUBB2A,,,LHX1,MRPL41
GSDMA,NIM1K,CHRM3-AS1,NPY2R,,WNK2,,,LINC02201,GAMT
STEAP3,KRT19,YIPF7,CLIC1,,RRAGD,,,SERPINB11,ARHGAP39
HOXC10,TDRD12,LINC01535,VSTM2A-OT1,,FCGR3B,,,MS4A6E,GPANK1
MED16,DLGAP2,IGFBP3,CFAP47,,RALBP1,,,IDO1,ANAPC11
ADRB1,CDH8,NEU1,TMEM102,,FLOT1,,,PRR23B,SHROOM2
CCR1,TRIM29,TSPAN7,ANKRD18DP,,TNFRSF10C,,,OR2B2,SYNPO
CD28,SGK1,RYR3,CYP39A1,,CKLF-CMTM1,,,FOXJ1,PIN1
HLA-DQB2,LINC01342,C10orf53,PKP3,,ICAM1,,,LOC105379109,IGLON5
SPOCD1,SCRG1,IGLON5,CPA5,,PPM1F,,,OTP,EHMT2
C9orf24,COLGALT2,TCTEX1D1,ATP1A2,,KIAA1257,,,CLEC2A,SCARF2
CAPN11,MMP25,EMX2,SLC10A2,,ADH1C,,,SLC26A7,HCFC1
HLA-DOA,SLC8A2,3-Mar,LINC01186,,CEACAM3,,,MIR221,RCAN1
HTR5A-AS1,SLC16A8,MT3,CREB3L1,,IL13RA1,,,DLG1-AS1,CLPTM1
FZD8,NDRG4,SLC15A3,SNORA84,,MAP4K4,,,OR10K2,CX3CL1
MAP7D1,CHRFAM7A,PSAPL1,SLC22A18AS,,PIK3AP1,,,LINC01692,GABRG3
SPTBN5,MUC1,PLVAP,GPAT3,,RN7SL2,,,LINC02410,MIR3687-2
HSPB7,KIF26B,KCNH2,CCM2L,,IFITM2,,,GLOD5,MIR3687-1
PLK2,FOXI2,WDR81,LOC100132147,,NUFIP2,,,FOXN1,PLA2G16
EHF,HOXB-AS3,EPHA3,C1RL,,DHX34,,,GTF2A1L,SLC6A8
SMAD6,MIR548F2,CMTM2,MIR5692C2,,SMCHD1,,,NPS,SLC35C1
CD86,HRG,TLR9,CATSPER1,,ARL11,,,C1orf189,ATP1B2
ABCC3,GPR1-AS,BHLHE41,TEX12,,SRXN1,,,OR56A5,GPC4
SLC9A3R2,CPNE7,ROBO3,RTL1,,CMTM2,,,FCRL5,FAM84A
PRRT1,LINC02145,ZNF835,LALBA,,HIST2H2BF,,,GKN2,TMOD1
LOC101928530,GPR1,LINC01182,KLF14,,BCL10,,,XAGE1E,RPS2
OTOF,DIAPH3,NR5A2,CCR7,,SBNO2,,,LCN6,MAGED4
AMBP,OSR1,SYNPR,TDRD7,,FAM3D,,,FCAR,PRRT4
GPR137C,MYH11,LHFPL4,LOC152225,,MAK,,,HOXC11,NDUFAF3
LOC283710,FBXW12,ZNF578,ARHGEF16,,TAP1,,,MIR548BA,MRPL38
LOC105378828,GLIS3-AS1,ZNF729,TEC,,FNIP1,,,RDH10-AS1,GADD45GIP1
TUSC5,FAM198A,ELOVL3,TMEM30B,,CSF2RA,,,SPATA31D5P,JUND
UTS2,GNAT3,PARD3-AS1,MIR548AD,,FAM83A,,,CATSPERD,GRIN2D
PSORS1C3,EQTN,SH3TC2,LINC00994,,CXCL6,,,LTF,PLEKHJ1
LRRC25,YPEL4,IGSF21,ACOT4,,HIST1H2BC,,,LINC01994,SPOCK1
C15orf48,GDPD4,IGSF11,MROH2A,,F11R,,,OR52I1,ATP5L
KIF20A,RGS4,ENKUR,ALX1,,8-Mar,,,LOC100129175,COX7C
CA8,RPA4,RGS7,PHLDA2,,NR3C1,,,CDRT7,NDUFS7
SASH3,LOC101928674,MEOX1,DYNLT3,,LILRA1,,,LOC105375014,IQSEC2
RPH3AL,HPR,PKD2L1,FTCD,,CTBS,,,SLC17A3,DDAH2
SIRPB1,KCNU1,TLR5,GRAP2,,CEACAM4,,,C4A,CORO2B
CCL3,AGT,CLDN16,WNT3,,PLEKHG3,,,SPRR2F,PSMB8
C10orf90,FAM110C,SYT2,PPY,,RELL1,,,OPRPN,TOX2
SYNM,GRIP2,PAX1,NRXN3,,ALPL,,,TARM1,RNF126
CYTL1,TTC9,BRINP2,REP15,,RASSF7,,,MIR4480,WDR13
CCDC62,RDH8,C4B,MAGEB17,,NADK,,,PRAMEF15,ECHS1
LOC101559451,LOC105373958,ZNF439,INSM2,,DAXX,,,LINC00968,ATP6V1F
RPL31P11,KIAA1683,LINC01563,LINC01565,,PTENP1,,,MBD3L1,RHBDD2
TBX5-AS1,CSRNP1,LOC644838,LOC101928203,,ACTN1,,,ADAM30,RPL3
VMO1,DKFZP434A062,BEAN1-AS1,RGCC,,LOC101927018,,,OR2H2,ATPIF1
LYL1,B3GNT4,LOC100288866,C6orf47,,LOC729083,,,SULT1C3,CYC1
ADAMTS18,OTUB2,HSPA2,MIR7515HG,,FYB,,,EIF3IP1,ELK1
P2RY12,CBLC,ABCC3,GFRA2,,TRPM6,,,OR1D5,SHANK3
PWWP2B,LENEP,MAEL,EVA1A,,PADI1,,,SPZ1,TRIM27
MSC-AS1,HBA2,TC2N,ARHGAP36,,SLC22A18,,,SNORD60,ZC3H3
KIR2DL4,LINC01446,PON3,ARHGEF35,,C7orf34,,,CCT8L2,TRIM62
LINC01909,LINC01833,KCNQ1,SNORD116-7,,CDC42EP3,,,PRAMEF14,TSR3
MMP8,CYP4F35P,SEZ6,SNORD116-5,,TFE3,,,MIR604,ATP5J
LOC100506585,ULK4P1,KHDC3L,CTHRC1,,C4B,,,CXCL2,SLC25A1
F5,SNORA74B,PDE2A,MMP23A,,HIST2H2AA3,,,FAM46D,NAT8L
DEFB124,ACTN2,LOC105373878,C1orf141,,ATP6V1B2,,,OR4F21,RAB6B
PPP2R1B,LAMB4,C9orf50,FABP4,,SEZ6,,,LINC02233,RNF187
C5orf38,MYO3A,MAGEE2,11-Mar,,KCNJ15,,,TBX5-AS1,BCKDK
APOB,LARGE2,OXER1,C22orf15,,CBS,,,NLRP7,TADA3
AKR1C2,ZACN,PAH,GPR132,,SERPINA1,,,PNLIPRP3,CHMP4B
FAM212B-AS1,CACNA1E,IQCF1,LOC101929123,,SRGN,,,FIGLA,CAMSAP3
FAM151A,FAM131B,LOC102723927,ZP2,,P2RY13,,,MFRP,RPS15
RANBP3L,ACTG2,LOC439933,ITGB7,,ST3GAL2,,,MIR4512,DXO
CD52,SLITRK3,MAMDC2,NPIPA7,,TLR2,,,LOC643623,SDF4
DNAJC5B,DGKG,IGSF11-AS1,ATP6V1G2,,LRRC6,,,MIR581,FBLN5
LOC100996721,TSGA13,FAM90A1,CA8,,SMG1P1,,,SLC13A1,GSTO1
TMIGD3,TP53AIP1,DTHD1,C1orf204,,LAMP2,,,TREM1,AGRN
UPK3A,APOM,RORC,GRHL3,,TMEM71,,,RPSAP52,C1QTNF4
SIGLEC9,SCUBE3,NXPH4,NTF3,,LOC105373098,,,HLA-F,CTSA
TTTY9A,COL8A1,GPR141,KCNA1,,NATD1,,,LINC01433,ETFB
MATK,NMRK2,SMARCA5-AS1,MET,,KY,,,SPATA16,AUP1
PDE11A,RTP3,MTRNR2L7,PKHD1L1,,KCNJ2-AS1,,,PHKA1-AS1,PCBP2
LINC01497,IL11,HAPLN4,ASIC4,,TRANK1,,,CIB3,NUCB1
GIMAP1-GIMAP5,ANGPTL7,DTX1,LOC105374847,,FRAT1,,,LINC00690,LINC01314
ESRRG,LINC01670,GCNT4,CYTL1,,EGLN1,,,LOC102724555,TUFM
CD80,PHLDA1,LAMA3,ANKRD20A1,,IL1R2,,,LINC02424,CIB1
GDF5,PDLIM3,TTYH1,TACR3,,MIR219A2,,,MIR302A,WDTC1
GTF2H4,ADAMTS8,LGR6,LINC00982,,SLC16A3,,,LOC102723427,FAM162A
TLR7,C10orf105,ZNF503-AS1,PRH1,,TEAD3,,,OR51A7,CLSTN1
GJA4,OTOGL,ARHGAP22,TSSK2,,KCNH7,,,UMOD,CALB2
LIPE,STK33,CBY3,RASSF7,,CASS4,,,MIR548U,FIBCD1
LINC01425,LRRC37A3,ZNF454,STOML3,,UHRF1BP1L,,,OR4N3P,MDH2
AIFM2,SERPINE3,UBA7,VARS2,,F5,,,LOC101928475,ACTB
RFPL4B,RGL4,ATOH1,PNMA5,,NAIP,,,CLCA1,ALKBH7
LIPN,KCNC1,NRK,ANO3,,RELT,,,BDP1,RAB3A
HLA-DMA,PCDHGC5,ACE2,PRRC2A,,ZFP36L1,,,LINC01527,POLR2I
VWF,SCML4,ARL17A,FAM26F,,MAP1LC3A,,,ADH7,GDAP1L1
LILRB3,PBX4,GRID2,NLRP6,,HBEGF,,,SRD5A2,MIB2
CLIC6,TSHR,MTNR1B,ANO1,,GNG10,,,HOXC9,CPNE2
HOXD3,USP29,ZNF474,PTGR1,,PACSIN2,,,FAM74A4,SYNGR3
MCAM,ASIP,DRC7,TNFAIP2,,CEP19,,,MIR548AC,SNRPN
LILRA1,GFPT2,GDF3,RPL21P28,,NCF1C,,,IFNA17,GYG1
CLSTN2,EFCAB8,ANKFN1,SOX14,,KIAA0232,,,MIR4506,MEGF8
REEP6,LINC00940,PHF1,GUCY1A3,,MGAM2,,,SNORD96B,ATP5G2
CD300E,LINC00028,ARGFX,SH2D1B,,LY96,,,MIR1289-1,AP3D1
CD180,C9orf92,CRIP3,LHCGR,,C14orf159,,,KRT20,NCDN
LINC00987,LOC101927131,ADGRE5,MTRNR2L5,,MYH10,,,MIR597,REXO1
LINC01629,LDHC,LPL,TSPAN8,,SIRPD,,,CLRN2,NDUFC1
OVOL3,C10orf67,LOC105378311,COL17A1,,SECTM1,,,PPP1R3A,WDR83OS
TAP2,B4GALNT4,GRID2IP,LOC284798,,UBTD1,,,DNTT,CD44
MPL,KLK8,C21orf91-OT1,ME1,,PLBD1,,,CFAP44-AS1,TSPO
SEMA6B,GABRB2,CLEC2A,CLEC3B,,HCK,,,CCL26,PHPT1
SLC4A10,SYT6,SLITRK2,FAM83C,,NT5DC4,,,LOC105373878,ASIC1
MRM1,TAS1R1,FOXD3,TBC1D3C,,ORM1,,,SLC14A1,ZNRF3
HLA-DRB1,DMBT1,OR5K2,NPIPA8,,NCOA1,,,OTX2,TRIM49
ZSCAN1,SEMA6B,C1orf61,PCDHGA12,,ZFYVE16,,,GNA14-AS1,MFSD10
GPER1,CADM1,ADGRF5,PRR26,,TAS2R40,,,CD1E,SBF1
SFN,SLC12A7,WNT4,HLA-DQB1,,INPP5A,,,LINC00254,SRPX
CLDN4,AIF1L,DLGAP1,PCDHGA5,,PROK2,,,PROP1,HPD
MARCO,MLPH,OLIG3,LOC729305,,ASPRV1,,,LOC105372038,MAPT
MYO16-AS1,HES2,CHEK2P2,LRRN4,,UBE2S,,,MUC4,SHISA5
STPG2,FAM95C,MIR181D,ZNF208,,TNFAIP3,,,SLC39A12,MZT2B
CXorf21,HLA-B,TRIM27,TRIM27,,RBM7,,,LNCPRESS1,NCOA5
DSTNP2,MMP1,ZNF385D,LILRB3,,LOC729603,,,LINC02167,GDI1
CHRNA7,PTGDS,ODF3L1,TRPC5,,JMJD1C-AS1,,,CYLC1,CD81
TMPRSS4-AS1,TMEM108,OTP,NKX2-8,,FMN1,,,DEFB103A,TNFSF12
RTN4RL1,AS3MT,EPHA5-AS1,ALB,,SSH1,,,DEFB103B,RAB13
KIR3DL2,CORO7,DBET,ITIH2,,RBM27,,,LINC01799,LRP10
PLA2G7,LCNL1,CDH1,HAND2-AS1,,LINC01506,,,C16orf82,NDUFB7
LILRA4,ANKRD18A,LGI4,HLA-A,,LGALSL,,,MIR5706,REEP2
UPK3B,HLA-F,ARRDC5,KDR,,MIR223,,,ANKRD30A,TTC9
LOC100653233,SHD,NGFR,OR10AD1,,ASF1B,,,ADAMTS18,RRAGA
HOXA9,KISS1,GAS2L2,TEK,,TOPORS,,,GOLGA6L10,SYT6
LOC105378687,DOC2B,SPINK2,LOC105376480,,CECR6,,,GATA6,MFSD3
ABCC6,N4BP3,GBX1,LAMC3,,ASPH,,,POU5F1,SSSCA1
DDIT4L,PADI2,XIST,LINC02024,,CA12,,,MAGEB18,SPCS2
TBX20,UGT2B4,JPH1,PWP2,,BICDL2,,,IL1R2,LGALS3BP
SOX7,OXCT2,TDH,MUC13,,WDFY3-AS2,,,LOC100508046,ND4L
IL2RA,ASB2,TMEM257,WDR87,,ANKRD44,,,MIR1273G,AGAP2
CD1B,MDC1,ARMS2,CXCL14,,LYN,,,SNORD114-24,ACO2
FOXD2-AS1,ERFE,C11orf86,HBE1,,PPL,,,TRIM64,RPL23A
HLA-DPA1,P2RX6,PNOC,MICA,,FOXQ1,,,OTOR,SALL2
ZNF835,AFF2,IL2RB,GPR183,,VNN1,,,EPYC,LRFN3
DDR1,DEFB103B,MRAP2,CYP2D7,,ACSS3,,,PPP1R2P3,MRPS26
CEACAM16,DEFB103A,PCP2,ART4,,UBR2,,,TRIM49D1,CHID1
OXT,PIEZO2,SSX5,PCDHGB3,,PLAU,,,ARHGEF35,COPE
KCNH5,PTK6,CD70,OR1F1,,KIAA1211L,,,SPAM1,NPDC1
DCANP1,OLFML2A,LOC105372444,SLC5A4,,GADD45G,,,ALX1,MAMDC2
BCL2A1,PCDHB5,ZAP70,GATA2,,ADGRG3,,,CTSL3P,GNAL
GPR142,APOE,AKAP14,GPD1,,RASSF3,,,MIR3663HG,NEDD8-MDP1
NCF1C,FAM151A,CDC42EP5,REXO1L1P,,RAB5A,,,GAGE2C,RAB4B
MEP1A,CHRNG,PIK3AP1,FAM189A1,,PPP1R15A,,,IL2,GNG7
CASQ1,SEMA3G,MMD2,DOCK4-AS1,,ORAI2,,,C1QTNF1-AS1,SSR4
KMO,ZAP70,ADAMTS7P1,SLC22A3,,GALNT14,,,VAV3-AS1,NAGK
LHCGR,RCSD1,RIMS4,SLC39A2,,JUNB,,,NOX3,C14orf1
LOC338963,APOC1,NRN1L,EGR3,,LINC00528,,,LRIT1,USE1
LST1,KCNQ4,ROBO4,ZPLD1,,CANT1,,,LINC02129,HSD11B1L
IL10,LLGL2,CASQ1,OSR1,,ARRDC4,,,HMGCS2,AMDHD2
LILRB1,IBSP,SLC39A11,CDH5,,CBLN2,,,MCIDAS,SCRIB
C4orf48,COL19A1,C3orf80,LOC101928371,,MIDN,,,IZUMO3,FASTK
CISH,LINC00163,TCEAL2,HCG25,,CLEC4E,,,AGXT2,PXN
SIRPD,AQP3,MYOZ2,RAD21L1,,PDZD3,,,IFNG,KRTCAP2
ZNF311,PSG1,HSPA6,CLEC14A,,LOC101929412,,,PAGE2B,RAD23A
NOMO1,F13A1,TUSC5,SNORD124,,OR10V2P,,,HLA-C,PLXNB3
EWSAT1,CYYR1,SLC26A7,POTEF,,C17orf107,,,LOC107986096,RPL8
CNTNAP2,PRAMEF12,SPAG17,HGF,,RN7SL1,,,MIR4432HG,ATP5G3
DOC2B,DUSP4,LOC100505797,CHIAP2,,CD177,,,HOXD8,DCTPP1
NPAS2,APOL5,PIK3R5,MADCAM1,,FAM8A1,,,MIR4473,NEBL-AS1
TBX5,ZNF503-AS1,PAX2,TSLP,,DDX60L,,,OOSP2,ERAL1
EHMT2,RGCC,FXYD7,GUSBP3,,GMIP,,,C17orf64,COMMD9
TMEM150B,PRAMEF20,SCGN,LINC01767,,NLRP6,,,LOC101926942,C19orf53
CPEB1,NPHP3-AS1,AWAT1,LINC02027,,LCN6,,,IL36RN,WDR18
GOLGA3,TLR5,C4A,LRRC56,,NR4A3,,,OR5D13,GRAMD1A
TMEM45B,PDIA2,KCNN3,HAND2,,TUBA1A,,,METTL11B,GPR162
CLN3,TFAP2A,RSPO1,HLA-C,,C1RL,,,LINC01350,RSPH1
ZBTB9,MYOG,CHL1,LOC100507388,,UBE2D1,,,TBX21,TOLLIP
ARHGAP11A,SEMA4C,GPR88,SPINK7,,GLI1,,,C8orf22,PKD1
CCHCR1,LST1,DEUP1,HLA-F-AS1,,ARG1,,,MIR4305,TMEM189-UBE2V1
TCF19,PKP1,OR2C1,C4B_2,,ABCC6,,,LINC01227,NOC4L
ASPN,CORO7-PAM16,EHD2,TNFSF15,,KLHL11,,,SNORA70B,MED16
OGN,POU3F3,CDH5,ARSI,,CXCR2,,,GBA3,KIF3C
ABCA5,THEMIS2,CACNA1I,FENDRR,,IER2,,,OR4N2,RPL29
SUSD2,CHRD,MYH14,BNC1,,OXER1,,,MIR670,TMEM208
SLIT3,RASD1,ABCB11,MMP1,,DNAH7,,,GPR15,KCNK7
SVEP1,FLG,CADM2-AS2,VPS52,,CSNK1A1L,,,FBXO3-AS1,PRDX5
COL21A1,PRAMEF6,HLA-DMA,IGF2,,IFNGR2,,,OR1A1,UBXN11
WDR63,PPP1R18,TBR1,FN1,,ATXN1,,,MIR3134,CACNG7
CACNB4,SIM2,KRT15,SLC26A3,,PDE2A,,,MIR7851,DEPTOR
PDGFD,LOC105370027,EMX1,PROKR2,,TSEN34,,,LINC01384,OXA1L
ABCA8,LEUTX,RPL9,TBX21,,TRIM27,,,MIR577,RAB5B
PDE5A,SLC34A2,CSAG2,APOB,,LINC00211,,,LINC01210,ATP1A3
CHRDL1,KCNJ6,LOC109864269,FLT1,,OSGIN2,,,TMEM207,PLSCR3
NDN,FAM178B,SOCS7,GJA5,,FCGR1A,,,OR8I2,ZNF358
MFAP4,SAMD5,MAGEA6,WISP1,,GABARAPL1,,,SLAMF9,AURKAIP1
PRRX1,LOC574538,EOMES,TBX4,,LITAF,,,AFM,C9orf16
HSPB6,IGFBP1,SKIV2L,HSPB7,,RNF149,,,HIST1H2BI,MAP2K1
EMX2OS,MYO7B,NANOG,SLC17A4,,HIST1H1C,,,LINC01233,BTBD2
ACE,RFPL2,MUC16,STON1-GTF2A1L,,CHI3L1,,,MIR10A,HSF1
ADH1B,KIAA1644,SOSTDC1,GATA3,,MXD3,,,IL6,SYNPR
STAC,PICSAR,CYP2D6,GJA4,,FEZF2,,,C5orf17,RPS28
PTGES,PRAMEF1,TUBB,CDH17,,TCTEX1D4,,,LENG9,GPR153
PTGIS,SIM1,DSG3,MUC5B,,KIAA0319,,,OTOP3,TXNDC17
LRRN3,TBX1,LTA,ZPBP,,PRLR,,,LINC00919,SYNJ2BP-COX16
SERPINI1,CD7,DKK4,BST2,,TNFAIP2,,,LOC101928782,RPSA
SLC1A1,IGFBPL1,CLCA2,HAPLN1,,NIPAL1,,,LOC340357,FAM3A
LINC00960,LINC01790,TDGF1,PPP1R11,,PPT2,,,ITIH6,CARS
NPR1,ZBTB7C,AGER,IGFBP3,,ATF3,,,LINC00028,CLIC1
NYNRIN,LY75,PAX8-AS1,MPIG6B,,CDC42EP2,,,DPY19L2P2,KLC2
XPNPEP2,TMEM26,EHF,ACTC1,,MCTP2,,,LINC01722,VGF
TSHZ2,LINC00664,RGPD4-AS1,FEV,,PHF21A,,,SOCS1,QDPR
ARHGAP20,TMEM72,TP63,KLRC2,,TP53I11,,,KCNU1,CYSTM1
SFRP1,BMP8B,RPPH1,SCARA5,,TMEM140,,,MMP26,SIK1
FBLN5,HS3ST5,UPK1B,NPIPA5,,IDS,,,SIX3-AS1,IDS
NCKAP5,SNORA80B,TSPAN1,TNNT2,,CHSY1,,,LOC105376468,HEG1
MASP1,TRIM43,L1TD1,MSC,,KRT26,,,WFDC9,C11orf70
TNXB,TRIM53AP,AMBN,CARTPT,,SEMA3B,,,PSKH2,YPEL3
VTN,GNG4,FOLH1,HSPA6,,MAP2K4,,,GPANK1,TBC1D10B
NID2,GTF2H4,ATF6B,NPAS4,,KCNE3,,,TRAT1,NCK2
PTGS1,ENPP5,FXYD3,RPS9,,LAT2,,,LHX8,OCLN
PLA2G2A,PARM1,MIMT1,LINC01360,,POMK,,,MIR3919,SEC16A
CLU,PP12613,C1QTNF9B,LOC100129534,,TREML2,,,OR7E24,TECR
PDE1A,CHRDL2,SLC6A14,VEPH1,,FAM174A,,,CXCL8,SMARCD3
ABCA9,RGS16,GSTM5,RP1,,TIGD3,,,OR10V1,CELSR2
PCOLCE,KRT75,ANKRD65,FOSB,,AIRN,,,MIR548P,PLXNB2
TRNP1,SHC2,LINC00678,GPR182,,PPCDC,,,PRG2,GSTP1
CCDC80,ALDH1A2,EMX2OS,KIZ-AS1,,JMJD6,,,FUT5,SSBP4
ABCA6,RIPK4,OTOL1,FOS,,DSC2,,,TUBA3E,S1PR3
NDNF,CCNA1,NHLH1,LOC554223,,ST6GALNAC2,,,ADH1A,RHOBTB2
ANGPTL1,FCER1G,CRYGC,EGR2,,PRDM5,,,LINC01162,NSUN5P1
FAM149A,MYO16,LY6G5B,NR4A3,,ISL2,,,CATSPER4,NLGN3
IGSF10,WBSCR17,MIR106B,LENG1,,PTPRJ,,,GOLGA6L6,OTUB1
CASP1,TPD52,VARS2,CCL4,,NABP1,,,OR5H8,ANGPTL4
SOD3,GOLT1A,GPR87,ZC3H12A,,CLDN10,,,LOC102723502,MBOAT7
C1S,KCNT1,RN7SK,HLA-DRB3,,ZFP91,,,POU6F2-AS1,NUDT16L1
RNF207,WFDC10B,MDC1,ARHGAP42,,DNAJB5-AS1,,,RAD21-AS1,PRELID1
CFB,AIRE,ZSCAN10,RREB1,,CALD1,,,CSAG4,GBA
LDB2,ARFGEF3,ZIC4,CCL3,,FBXL13,,,OR10G8,MAP7D1
CRABP2,TNFRSF13B,HCRT,BCL2L2-PABPN1,,C19orf35,,,GAST,SAPCD1
ANKRD6,RPL23AP87,MAGEA2,LOC101928174,,PLK3,,,LOC105369443,RFPL1
NSF,ARHGAP11A,HIST1H2AI,FOXB1,,SPAG9,,,LOC643542,GRIN3B
FAM155A,ABCA13,PKP1,SERPINH1,,CADM4,,,CCDC63,AHDC1
TRANK1,OR2C1,MIR4489,GCOM1,,GSN,,,LOC101929058,INTS1
ADH1C,KRT34,PRL,SNORD14E,,SIGLEC10,,,TEX36,CHMP1B
TYMP,EFCC1,PAX5,CARD8-AS1,,C16orf72,,,FAM197Y2,TKT
THBS2,LOC100130111,ASNSP1,LOC101927755,,UBE2W,,,CYP2C9,NDRG4
LINC01018,PLPPR1,LOC100506675,C11orf45,,NFKBIA,,,SERPINB12,C11orf68
LINC01503,HOXA13,NXF2,LINC01091,,XPO6,,,GUCY2GP,SSNA1
PRSS12,RPS9,FAM162B,RUNX2,,NUAK2,,,OR8B12,ENPP5
DOK5,HLA-DPB1,ZNF750,POC1B-GALNT4,,NRBF2,,,MIR766,KCNJ4
ABCC9,CFB,BARX2,CXCL10,,TRIM58,,,SPTA1,C2CD4C
DHRS3,AGAP12P,TRIM49D1,LINC01679,,H3F3A,,,CBSL,ARID5A
OMD,RNF126P1,S100A2,NR2E3,,OTX1,,,PHOX2B,PCIF1
SCARA5,LINC01135,TRIM29,LINC00282,,CLEC18C,,,DEFB107A,BOK
KCND3,TAP2,CYP4F35P,FUT3,,COL18A1,,,DEFB107B,SNPH
RARRES1,TMEM163,INHBA,TEKT1,,FOSL1,,,SLCO6A1,MRPL45
DAB1,LOC392196,F13A1,LINC01257,,TRIM40,,,AKR1C8P,AKT1S1
SCN2A,MBD3L3,SCEL,NOD2,,DNAJB9,,,LINC01984,HSPBP1
INSRR,HCG27,CLIC6,GLRA4,,PIGX,,,LINC01788,TMEM128
PDGFRA,LGR6,KIAA0355,TSPAN16,,SEMA4B,,,UBD,BCL2L1
GATA6-AS1,ZSCAN4,AQP3,RNF212B,,ZFP36,,,LOC101928942,NOTCH3
FZD7,PGA4,CFI,C11orf52,,PNPLA1,,,PROK2,RNF167
MAN1A1,SBK2,PRR3,TNFRSF10C,,LOC102723526,,,LOC100506682,TMEM147
LINC00607,RCVRN,CYP2F1,FAM46C,,CNTNAP3B,,,CHIA,KLHDC3
TMEM119,C12orf42,PAGE2B,LOC101928280,,C15orf39,,,FAM92B,COX6B1
IGFBP6,KANK4,ZIC5,IDI2,,KLHDC8B,,,FAM20C,VIM
MGARP,PRAMEF9,SCARNA16,TRPA1,,SPP1,,,LOC105376606,BSCL2
OLFML1,MIR1-1,CYP26C1,CETP,,SPAG1,,,OTOP2,STMN3
PLPP3,PHF21B,ZMYND15,HGD,,GPSM3,,,GJA3,PRKAR1B
